                   sym.__pformat_gfloat   376 0x140003ac0 |   MATCH  (1.000000) | 0x140003ac0    376 sym.__pformat_gfloat
       sym.__pformat_emit_xfloat.isra.0  1179 0x140003c40 |   MATCH  (1.000000) | 0x140003c40   1179 sym.__pformat_emit_xfloat.isra.0
                    sym.__mingw_pformat  2759 0x1400040e0 |   MATCH  (1.000000) | 0x1400040e0   2759 sym.__mingw_pformat
                     sym.__rv_alloc_D2A    55 0x140004bb0 |   MATCH  (1.000000) | 0x140004bb0     55 sym.__rv_alloc_D2A
                    sym.__nrv_alloc_D2A   124 0x140004bf0 |   MATCH  (1.000000) | 0x140004bf0    124 sym.__nrv_alloc_D2A
                         sym.__freedtoa    39 0x140004c70 |   MATCH  (1.000000) | 0x140004c70     39 sym.__freedtoa
                       sym.__quorem_D2A   382 0x140004ca0 |   MATCH  (1.000000) | 0x140004ca0    382 sym.__quorem_D2A
                            sym.__gdtoa  6104 0x140004e20 |   MATCH  (1.000000) | 0x140004e20   6104 sym.__gdtoa
                       sym.__rshift_D2A   242 0x140006600 |   MATCH  (1.000000) | 0x140006600    242 sym.__rshift_D2A
                       sym.__trailz_D2A    58 0x140006700 |   MATCH  (1.000000) | 0x140006700     58 sym.__trailz_D2A
                          sym.dtoa_lock   217 0x140006740 |   MATCH  (1.000000) | 0x140006740    217 sym.dtoa_lock
                  sym.dtoa_lock_cleanup    66 0x140006820 |   MATCH  (1.000000) | 0x140006820     66 sym.dtoa_lock_cleanup
                       sym.__Balloc_D2A   235 0x140006870 |   MATCH  (1.000000) | 0x140006870    235 sym.__Balloc_D2A
                        sym.__Bfree_D2A    99 0x140006960 |   MATCH  (1.000000) | 0x140006960     99 sym.__Bfree_D2A
                      sym.__multadd_D2A   185 0x1400069d0 |   MATCH  (1.000000) | 0x1400069d0    185 sym.__multadd_D2A
                          sym.__i2b_D2A   189 0x140006a90 |   MATCH  (1.000000) | 0x140006a90    189 sym.__i2b_D2A
                         sym.__mult_D2A   343 0x140006b50 |   MATCH  (1.000000) | 0x140006b50    343 sym.__mult_D2A
                     sym.__pow5mult_D2A   375 0x140006cb0 |   MATCH  (1.000000) | 0x140006cb0    375 sym.__pow5mult_D2A
                       sym.__lshift_D2A   270 0x140006e30 |   MATCH  (1.000000) | 0x140006e30    270 sym.__lshift_D2A
                          sym.__cmp_D2A    72 0x140006f40 |   MATCH  (1.000000) | 0x140006f40     72 sym.__cmp_D2A
                         sym.__diff_D2A   470 0x140006f90 |   MATCH  (1.000000) | 0x140006f90    470 sym.__diff_D2A
                          sym.__b2d_D2A   271 0x140007170 |   MATCH  (1.000000) | 0x140007170    271 sym.__b2d_D2A
                          sym.__d2b_D2A   253 0x140007280 |   MATCH  (1.000000) | 0x140007280    253 sym.__d2b_D2A
                        sym.__strcp_D2A    34 0x140007380 |   MATCH  (1.000000) | 0x140007380     34 sym.__strcp_D2A
                            sym.strnlen    40 0x1400073b0 |   MATCH  (1.000000) | 0x1400073b0     40 sym.strnlen
                            sym.wcsnlen    37 0x1400073e0 |   MATCH  (1.000000) | 0x1400073e0     37 sym.wcsnlen
                         sym.__p__fmode    11 0x140007410 |   MATCH  (1.000000) | 0x140007410     11 sym.__p__fmode
                       sym.__p__commode    11 0x140007420 |   MATCH  (1.000000) | 0x140007420     11 sym.__p__commode
                         sym._lock_file 87134 0x140007430 |   MATCH  (1.000000) | 0x140007430  87134 sym._lock_file
                       sym._unlock_file 86440 0x1400074a0 |   MATCH  (1.000000) | 0x1400074a0  86440 sym._unlock_file
sym.mingw_get_invalid_parameter_handler     8 0x140007500 |   MATCH  (1.000000) | 0x140007500      8 sym.mingw_get_invalid_parameter_handler
sym.mingw_set_invalid_parameter_handler    11 0x140007510 |   MATCH  (1.000000) | 0x140007510     11 sym.mingw_set_invalid_parameter_handler
                    sym.__acrt_iob_func    31 0x140007520 |   MATCH  (1.000000) | 0x140007520     31 sym.__acrt_iob_func
                       sym.__wcrtomb_cp   137 0x140007540 |   MATCH  (1.000000) | 0x140007540    137 sym.__wcrtomb_cp
                            sym.wcrtomb    63 0x1400075d0 |   MATCH  (1.000000) | 0x1400075d0     63 sym.wcrtomb
                          sym.wcsrtombs   246 0x140007610 |   MATCH  (1.000000) | 0x140007610    246 sym.wcsrtombs
                       sym.__mbrtowc_cp   347 0x140007710 |   MATCH  (1.000000) | 0x140007710    347 sym.__mbrtowc_cp
